source_hint,source_root,original_filename,relative_path,size_bytes,sha256,width,height,product_name,brand,variant,size,category,skin,confidence,target_filename,action,notes,created_at,updated_at
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_01 a.m..png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_01 a.m..png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_01 a.m..png",1638874,59e731b70a27f6635783dd6091df4f0d6d2fcf2ebd141131ca81f38b57806f58,,,Salsa de tomate,,,340g,abarrotes,dark,0.96,salsa-de-tomate-340g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (1).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_11 a.m. (1).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (1).png",1344602,a0ccf566eaf375fef7c1910d8b4788622d61bc49cc8f2428b98195ff4e337ae1,,,Leche entera,,,1l,lacteos,light,0.96,leche-entera-1l.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (2).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_11 a.m. (2).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (2).png",1776588,735bb02f3ae43a387cd891b2fb867e577e7ee9c43ab389c1765d709d689f394e,,,Leche entera,,,1l,lacteos,dark,0.96,leche-entera-1l.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (3).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_11 a.m. (3).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (3).png",1512487,ce5c372c00f10c060c54a92604f6a5e78dd822297fd43141b4f28ca2013e7d1d,,,Pan blanco,,,680g,panaderia,light,0.96,pan-blanco-680g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (4).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_11 a.m. (4).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (4).png",1936511,0fa6645922288dbe40d1c4ccff4906328a1f1d8d4177d42f689edae56029a035,,,Pan blanco,,,680g,panaderia,dark,0.96,pan-blanco-680g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (5).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_11 a.m. (5).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (5).png",1629308,5e2e0b19b0b5c95ce9ad40f31f3fe71cef807c3d1b9a728377bc18db330e5644,,,Arroz,,,1kg,abarrotes,light,0.96,arroz-1kg.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (6).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_11 a.m. (6).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_11 a.m. (6).png",1794096,96311d37f7bce885a65b368e02a5414247ac1b2f903c07cf5a881594fa12976f,,,Arroz,,,1kg,abarrotes,dark,0.96,arroz-1kg.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_13 a.m. (7).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_13 a.m. (7).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_13 a.m. (7).png",1705651,f04fc5322c0c6d795a3f5eef81c35c44a86dcdf19bf14a25301b48195f24da38,,,Cereal,,,500g,cereales,light,0.95,cereal-500g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_14 a.m. (10).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_14 a.m. (10).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_14 a.m. (10).png",1638874,59e731b70a27f6635783dd6091df4f0d6d2fcf2ebd141131ca81f38b57806f58,,,Salsa de tomate,,,340g,abarrotes,dark,0.96,salsa-de-tomate-340g-02.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro. Nombre con sufijo por colisión estable dentro de dark.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_14 a.m. (8).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_14 a.m. (8).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_14 a.m. (8).png",1998409,b104d926c380891cd77a1fffe122eab4777764e47bae6a379ffed8e003bf8a20,,,Cereal,,,500g,cereales,dark,0.95,cereal-500g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_14 a.m. (9).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_12_14 a.m. (9).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_12_14 a.m. (9).png",1340926,aeb232f2fe5e4c7c474de917c3394347227920b66f585a1052ae623acb6e8362,,,Salsa de tomate,,,340g,abarrotes,light,0.96,salsa-de-tomate-340g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_56 a.m. (1).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_56 a.m. (1).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_56 a.m. (1).png",1319951,9d0c77ec8ab4fbf03af81a131ce99487d6e27ad7f3f98087c9cc53c83f0e8302,,,Pasta espagueti,,espagueti,500g,pastas,light,0.96,pasta-espagueti-500g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (10).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (10).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (10).png",1617470,1a19bb47dfc216a5a4bd90331fb8984d6416a3ae04bd541b7450c0e620d59cfc,,,Papel higiénico suave,,suave,4-rollos,papel_higienico,dark,0.95,papel-higienico-suave-4-rollos.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (2).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (2).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (2).png",1667344,57b1e046d6a98c4b8c1dbd61b20bf05e9a09eb3c4746d02b0872f18fab5d2502,,,Pasta espagueti,,espagueti,500g,pastas,dark,0.96,pasta-espagueti-500g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (3).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (3).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (3).png",1617465,775abd1feef9f769a52eadc60f3e1cdd590bafaccf5027df36436619124cab39,,,Azúcar refinada,,refinada,1kg,abarrotes,light,0.96,azucar-refinada-1kg.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (4).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (4).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (4).png",1741128,e6a7538d7d16e7614a74e4357b407d87a6d798773c4e432cdf29cc624a2eadf0,,,Azúcar refinada,,refinada,1kg,abarrotes,dark,0.96,azucar-refinada-1kg.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (5).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (5).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (5).png",1675167,1c86d76ae6c199a179966a5450a0811d92a0a349055400efda4f813931f983f1,,,Atún en agua,,en agua,140g,conservas,light,0.96,atun-en-agua-140g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (6).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (6).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (6).png",1806479,786e9dabbffe06e841ac59d439d8c7379bc936d33426814ec478a508d706a56a,,,Atún en agua,,en agua,140g,conservas,dark,0.96,atun-en-agua-140g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (7).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (7).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (7).png",1829783,a918323b5830caede7d89f6024c52fdaaef92fc8c6fe37d2ce6afe5e1616eafa,,,Galletas sándwich,,rellenas de crema,300g,galletas,light,0.95,galletas-sandwich-rellenas-de-crema-300g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (8).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (8).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (8).png",1898565,5c3b8c112315d219c74996e2eca584a41c81ada69f4e638532ad0e098a338a17,,,Galletas sándwich,,rellenas de crema,300g,galletas,dark,0.95,galletas-sandwich-rellenas-de-crema-300g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (9).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_20_57 a.m. (9).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_20_57 a.m. (9).png",1789551,46c3007241841c7f064af6d8150092af66fb005e0147e097111e8ed1ee2c4fdd,,,Papel higiénico suave,,suave,4-rollos,papel_higienico,light,0.95,papel-higienico-suave-4-rollos.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (1).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (1).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (1).png",1707870,5a4bb83d1d798e24e20df5ba93227c69737976c89e2cc26c9ebddc30456cce55,,,Frijol negro,,seleccionado,900g,abarrotes,light,0.95,frijol-negro-seleccionado-900g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (10).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (10).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (10).png",1610817,627edf2f30ceae77b738ef5a41d8b3e3751b263d03ff2573c89f9616c1777e1f,,,Mayonesa,,receta clásica,390g,abarrotes,dark,0.95,mayonesa-receta-clasica-390g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (2).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (2).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (2).png",1991292,c32e663a13e5552a818ed8e029ebae136f395793efc37a72f3b38aa46229228e,,,Frijol negro,,seleccionado,900g,abarrotes,dark,0.95,frijol-negro-seleccionado-900g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (3).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (3).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (3).png",1675273,529761d110dc45c2d066c5a923023db421fa130b467553333f3320512f257a34,,,Avena,,hojuelas,500g,cereales,light,0.96,avena-hojuelas-500g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (4).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (4).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (4).png",2072066,27e12f74ac73988320f585904606625debfdd6440aac42ecec83aa98b781e6df,,,Avena,,hojuelas,500g,cereales,dark,0.96,avena-hojuelas-500g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (5).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (5).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (5).png",1754609,c8b5a97939bd10dac14e2353dd2bbded64d6999d34bf18dfcf4be2ca9ed04dff,,,Mermelada de fresa,,fresa,450g,abarrotes,light,0.96,mermelada-de-fresa-450g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (6).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (6).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (6).png",2076919,f73b70392df578335700aecf7958b1e54792dfd11e9e07947c3000fcd17ab237,,,Mermelada de fresa,,fresa,450g,abarrotes,dark,0.96,mermelada-de-fresa-450g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (7).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (7).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (7).png",1664496,2730554723c1628139f2c09db6b3a60a8a1cc98ad05e520e76321de78db70f15,,,Salsa picante,,picante,150ml,abarrotes,light,0.96,salsa-picante-150ml.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (8).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (8).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (8).png",1558843,21d6f89f62b0052845cbb96b4c6f29d9233b2ba23d16912d238fd8020b1074d7,,,Salsa picante,,picante,150ml,abarrotes,dark,0.96,salsa-picante-150ml.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (9).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_27_01 a.m. (9).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_27_01 a.m. (9).png",1526021,3004e58d58c9b5de09a3fb0e84ceee3703e5a2be0e6beaa394d5f8e7e4757d69,,,Mayonesa,,receta deliciosa,390g,abarrotes,light,0.95,mayonesa-receta-deliciosa-390g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_30_38 a.m. (1).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_30_38 a.m. (1).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_30_38 a.m. (1).png",1681105,3bc9d8845f190f3be1ab9290f69891e436f8e0141b23c159bd6674d76742284a,,,Miel de abeja,,,350g,abarrotes,light,0.96,miel-de-abeja-350g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_30_38 a.m. (2).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_30_38 a.m. (2).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_30_38 a.m. (2).png",1999940,0a2e8dd9ba558f9dcfd068a4d6bed27bc4194cf9c6f98eb0b6dfc9168245c66e,,,Miel de abeja,,,350g,abarrotes,dark,0.96,miel-de-abeja-350g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_30_38 a.m. (3).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_30_38 a.m. (3).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_30_38 a.m. (3).png",1966780,9461cc7b4fdd00b0ba7fd4f25da9939cd8d5225b9c463fab48914fc76a865664,,,Harina de trigo,,tradicional,1kg,abarrotes,light,0.96,harina-de-trigo-tradicional-1kg.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_30_39 a.m. (4).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 07_30_39 a.m. (4).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 07_30_39 a.m. (4).png",2021528,4838e572c4799b2fb11b629c8aa0e839b9f47789e77208d041b6c330850a6e7e,,,Harina de trigo,,tradicional,1kg,abarrotes,dark,0.96,harina-de-trigo-tradicional-1kg.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
