surface,file,selector,layer,action,risks,background,position,z_index,isolation,overflow,opacity,backdrop_filter,height
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,button,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"button:disabled, select:disabled, input:disabled",state,conservar_con_cuidado,opacity:.52,,,,,,.52,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,::selection,unknown,conservar,background activo,"rgba(99, 223, 255, 0.86)",,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,:focus-visible,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"h1, h2, h3, p",unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"h1, h2, h3",unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,h1,unknown,conservar,background activo,"linear-gradient(120deg, #ffffff 0%, #dff8ff 22%, #76eaff 40%, #bfa8ff 68%, #ffffff 100%)",,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,h2,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,h3,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"p, small, label, dd, dt",unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"code, pre, kbd, samp",unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab,unknown,conservar,isolation:isolate; overflow:hidden,"radial-gradient(circle at 20% 10%, rgba(25, 211, 255, 0.12), transparent 26rem), radial-gradient(circle at 80% 6%, rgba(117, 87, 255, 0.11), transparent 30rem), linear-gradient(180deg, rgba(1, 3, 10, 0.24), rgba(1, 3, 10, 0.96))",relative,,isolate,hidden,,,100vh
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-lab::before, .chart-lab::after",unknown,conservar,position:fixed; z-index:-1; opacity:.76,,fixed,-1,,,.76,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab::before,unknown,conservar,,"radial-gradient(circle, rgba(0,245,255,.22), rgba(117,87,255,.08) 54%, transparent 72%)",,,,,,,34rem
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab::after,unknown,conservar,,"radial-gradient(circle, rgba(117,87,255,.22), rgba(34,247,166,.07) 56%, transparent 74%)",,,,,,,42rem
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab__background,background,conservar,position:fixed; z-index:-2,"radial-gradient(circle at 12% 14%, rgba(25, 211, 255, 0.22), transparent 24rem), radial-gradient(circle at 82% 8%, rgba(117, 87, 255, 0.20), transparent 26rem), radial-gradient(circle at 65% 82%, rgba(34, 247, 166, 0.10), transparent 32rem), conic-gradient(from var(--prisma-angle) at 50% 24%, rgba(25,211,255,.08), rgba(117,87,255,.08), rgba(34,247,166,.055), rgba(244,197,66,.045), rgba(25,211,255,.08)), linear-gradient(180deg, #02040a 0%, #061023 48%, #02040a 100%)",fixed,-2,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-lab__background::before, .chart-lab__background::after",background,conservar,position:absolute,,absolute,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab__background::before,background,conservar,,"repeating-linear-gradient(90deg, rgba(99, 223, 255, 0.048) 0 1px, transparent 1px 74px), repeating-linear-gradient(0deg, rgba(99, 223, 255, 0.038) 0 1px, transparent 1px 74px), linear-gradient(120deg, transparent 0%, rgba(255,255,255,0.055) 45%, transparent 58%)",,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab__background::after,background,conservar,opacity:.45,"radial-gradient(ellipse at 50% 0%, rgba(255,255,255,.07), transparent 34%), linear-gradient(180deg, transparent 0%, rgba(2, 4, 10, 0.2) 48%, rgba(2, 4, 10, 0.78) 100%), var(--lab-noise)",,,,,.45,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab__chrome,unknown,conservar,,,relative,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-lab__header, .status-strip, .lab-workbench, .control-card, .chart-frame, .inspector section, .mini-stack, .tab-panel, .control-deck",shell,transparentar_o_convertir_a_glass,background activo; posible tapador de fondo; glass/backdrop-filter,"var(--lab-panel-glass), var(--lab-panel-blueprint), var(--lab-panel)",,,,,,blur(24px) saturate(1.26) contrast(1.06),
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-lab__header, .lab-workbench, .chart-frame, .control-card, .inspector section, .mini-stack, .tab-panel, .control-deck",shell,conservar,,,relative,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-lab__header::before, .lab-workbench::before, .chart-frame::before, .control-card::before, .inspector section::before, .mini-stack::before, .tab-panel::before, .control-deck::before",shell,transparentar_o_convertir_a_glass,background activo; posible tapador de fondo; position:absolute; opacity:.84,"linear-gradient(135deg, rgba(255,255,255,.22), rgba(99,223,255,.10) 26%, rgba(117,87,255,.18) 52%, rgba(34,247,166,.08) 76%, rgba(255,255,255,.12))",absolute,,,,.84,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-lab__header::after, .chart-frame::after, .control-deck::after",shell,conservar,position:absolute; opacity:.58,"linear-gradient(112deg, transparent 0%, rgba(255,255,255,0.11) 38%, rgba(99,223,255,0.13) 48%, transparent 58%)",absolute,,,,.58,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab__header,unknown,conservar,overflow:hidden,,,,,hidden,,,154px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-lab__header > *,unknown,conservar,z-index:1,,relative,1,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.eyebrow,unknown,conservar,,,,,,,,,28px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.eyebrow::before,unknown,conservar,background activo,var(--lab-emerald),,,,,,,10px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".header-actions, .segmented-controls, .size-controls, .toolbar-actions, .chip-group, .tab-strip",toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.header-actions,toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".header-actions span, .segmented-controls button, .size-controls button, .tab-strip button, .toolbar-actions button, .chip-group button",toolbar,conservar,background activo,"linear-gradient(180deg, rgba(255,255,255,.085), rgba(255,255,255,.02)), rgba(5, 12, 27, 0.72)",,,,,,,40px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.header-actions span,toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".segmented-controls button:hover, .size-controls button:hover, .tab-strip button:hover, .toolbar-actions button:hover, .chip-group button:hover",toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".segmented-controls button.is-active, .size-controls button.is-active, .tab-strip button.is-active, .chip-group button.is-active",unknown,conservar,background activo,"linear-gradient(135deg, rgba(0,245,255,.95), rgba(8,109,255,.92) 48%, rgba(117,87,255,.88)), #071426",,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.status-strip,unknown,conservar,background activo; overflow:hidden,"rgba(99, 223, 255, 0.10)",,,,hidden,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.status-strip article,unknown,conservar,background activo; overflow:hidden,"linear-gradient(180deg, rgba(255,255,255,.055), rgba(255,255,255,.014)), rgba(6, 14, 31, 0.76)",relative,,,hidden,,,106px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.status-strip article::before,unknown,conservar,position:absolute,"radial-gradient(circle, rgba(25, 211, 255, 0.16), transparent 68%)",absolute,,,,,,142px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.status-strip article::after,unknown,conservar,position:absolute; opacity:.7,"linear-gradient(180deg, transparent, rgba(0,245,255,.72), transparent)",absolute,,,,.7,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".status-strip span, .control-card span, .inspector dt",card,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.status-strip strong,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".status-strip small, .inspector small",unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.lab-workbench,unknown,conservar,,,,,,visible,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".lab-sidebar, .inspector",navigation,conservar_con_cuidado,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.control-card,card,conservar,overflow:hidden,,,,,hidden,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".control-card label, .runtime-control",card,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".control-card select, .control-card input[type=""range""], .control-card input[type=""search""], .runtime-control input[type=""range""], .runtime-control input[type=""search""], .runtime-control select",card,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".control-card select, .control-card input[type=""search""], .runtime-control select, .runtime-control input[type=""search""]",card,conservar,background activo,"linear-gradient(180deg, rgba(255,255,255,.055), rgba(255,255,255,.018)), rgba(2, 8, 20, 0.82)",,,,,,,42px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".control-card select:focus, .control-card input[type=""search""]:focus, .runtime-control select:focus, .runtime-control input[type=""search""]:focus",card,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"input[type=""search""]::placeholder",unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,select option,unknown,conservar,background activo,#071022,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"input[type=""range""]",unknown,conservar,,,,,,,,,20px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"input[type=""range""]::-webkit-slider-runnable-track",unknown,conservar,background activo,"linear-gradient(90deg, rgba(0,245,255,.82), rgba(8,109,255,.64), rgba(117,87,255,.58))",,,,,,,8px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"input[type=""range""]::-webkit-slider-thumb",unknown,conservar,background activo,"radial-gradient(circle at 35% 30%, #ffffff, var(--lab-cyan-hot) 35%, var(--lab-blue) 74%)",,,,,,,20px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.mini-stack,unknown,conservar,overflow:hidden,,,,,hidden,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.mini-stack p,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-list,unknown,conservar,,,,,,auto,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-list::-webkit-scrollbar, .tab-panel pre::-webkit-scrollbar, .map-stack pre::-webkit-scrollbar",panel,conservar,,,,,,,,,10px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-list::-webkit-scrollbar-track, .tab-panel pre::-webkit-scrollbar-track, .map-stack pre::-webkit-scrollbar-track",panel,conservar,background activo,"rgba(255,255,255,.045)",,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-list::-webkit-scrollbar-thumb, .tab-panel pre::-webkit-scrollbar-thumb, .map-stack pre::-webkit-scrollbar-thumb",panel,conservar,background activo,"linear-gradient(180deg, rgba(0,245,255,.66), rgba(117,87,255,.48))",,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-list__item,unknown,conservar,background activo; overflow:hidden,"linear-gradient(180deg, rgba(255,255,255,.048), rgba(255,255,255,.013)), rgba(5, 12, 27, 0.66)",relative,,,hidden,,,64px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-list__item::before,unknown,conservar,position:absolute; opacity:0,"radial-gradient(circle at 12% 50%, rgba(0,245,255,.12), transparent 38%), linear-gradient(112deg, transparent, rgba(255,255,255,.07), transparent)",absolute,,,,0,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-list__item:hover,unknown,conservar,background activo,"linear-gradient(180deg, rgba(255,255,255,.072), rgba(255,255,255,.018)), rgba(8, 20, 42, 0.82)",,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-list__item:hover::before, .chart-list__item.is-active::before",unknown,conservar,,,,,,,1,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-list__item.is-active,unknown,conservar,background activo,"linear-gradient(135deg, rgba(0,245,255,.16), rgba(117,87,255,.13) 52%, rgba(34,247,166,.08)), rgba(4, 12, 28, 0.94)",,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-list__item strong, .chart-list__item small",unknown,conservar,z-index:1,,relative,1,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-list__item strong,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-list__item small,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.readiness-dot,unknown,conservar,z-index:1,,relative,1,,,,,11px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.readiness-dot--ready,unknown,conservar,background activo,var(--lab-green),,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.readiness-dot--draft,unknown,conservar,background activo,var(--lab-amber),,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.readiness-dot--blocked,unknown,conservar,background activo,var(--lab-red),,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.preview-stage,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.preview-toolbar,toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.preview-toolbar p,toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.size-controls,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-frame,shell,conservar,overflow:hidden,"radial-gradient(circle at 18% 0%, rgba(99, 223, 255, 0.18), transparent 34%), radial-gradient(circle at 100% 6%, rgba(117, 87, 255, 0.18), transparent 32%), linear-gradient(180deg, rgba(255,255,255,.072), rgba(255,255,255,.018)), rgba(3, 9, 22, 0.88)",relative,,,hidden,,,520px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-frame::before,shell,conservar,opacity:.96,,,,,,.96,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-frame::after,shell,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-frame[data-preview-frame=""tablet""]",shell,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".chart-frame[data-preview-frame=""mobile""]",shell,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-frame > *,shell,conservar,z-index:1,,relative,1,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-frame .lab-echart,shell,conservar,overflow:hidden,"linear-gradient(90deg, rgba(99,223,255,.04) 1px, transparent 1px), linear-gradient(rgba(99,223,255,.035) 1px, transparent 1px), radial-gradient(circle at 30% 0%, rgba(99,223,255,.10), transparent 32%), linear-gradient(180deg, rgba(255,255,255,.052), rgba(255,255,255,.015))",relative,,,hidden,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-frame .lab-echart::before,shell,conservar,position:absolute; z-index:1,"linear-gradient(180deg, rgba(255,255,255,.07), transparent 14%, transparent 86%, rgba(0,0,0,.12))",absolute,1,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.chart-frame .lab-echart::after,shell,conservar,position:absolute; z-index:2,"linear-gradient(180deg, transparent, rgba(99,223,255,.10), transparent)",absolute,2,,,,,18%
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".lab-echart canvas, .lab-echart svg",unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.lab-echart__state,unknown,conservar,,,,,,,,,240px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.tab-strip,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".tab-panel, .control-deck",panel,conservar,overflow:hidden,,,,,hidden,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.panel-grid,panel,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.panel-grid article,panel,conservar,background activo,"linear-gradient(180deg, rgba(255,255,255,.052), rgba(255,255,255,.014)), rgba(3, 10, 24, 0.64)",relative,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.panel-grid p,panel,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,".tab-panel pre, .map-stack pre",panel,conservar,background activo,"linear-gradient(180deg, rgba(5,13,28,.95), rgba(2,6,15,.95)), rgba(2, 4, 10, 0.96)",,,,auto,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.prisma-option-studio-panel,panel,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.prisma-option-studio-toolbar,toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.prisma-option-studio-toolbar h3,toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.prisma-option-studio-actions,toolbar,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.prisma-option-studio-actions button,toolbar,conservar,background activo,"linear-gradient(180deg, rgba(255,255,255,.08), rgba(255,255,255,.02)), rgba(5, 12, 27, 0.74)",,,,,,,36px
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,.prisma-option-studio-actions button:hover,toolbar,conservar,,,,,,,,,
